text,label
Win a free iPhone now,1
Congratulations you have won lottery,1
Claim your free gift card today,1
Limited time offer click now,1
You have been selected for a prize,1
Urgent! Your account needs verification,1
Get cheap loans instantly apply now,1
Exclusive deal just for you,1
Earn money fast from home,1
Free entry into contest now,1
Call me when you reach home,0
Meeting is scheduled tomorrow,0
Let's have lunch together,0
Your order has been delivered,0
Happy birthday have a great day,0
Please send the report today,0
Are you coming to the party,0
Project submission deadline is tomorrow,0
Don't forget to attend class,0
Can we reschedule the meeting,0
Win cashback on your next purchase,1
Special offer buy one get one free,1
You are lucky winner claim now,1
Free vacation tickets available,1
Limited offer act fast now,1
Reminder for your appointment,0
Class starts at 10 am,0
Dinner is ready come home,0
Send me the details please,0
We will meet at the office,0
Check your email for updates,0
Please confirm your attendance,0
Thank you for your support,0
